Scheme Name,URL,Region,Tags
Safai Karmakar Hetu Aavashyak Upakaran Sahayata Yojana ​,https://www.myscheme.gov.in/schemes/skhausy,Chhattisgarh,"Financial Assistance, Sanity Equipment, Financial Assistance, Sanity Equipment"
Atal Mission For Rejuvenation And Urban Transformation,https://www.myscheme.gov.in/schemes/amrut,Ministry Of Housing & Urban Affairs,"Basic Services, Drainage, Green Space, Non-Motorized, Parks, Septage Management, Sewerage, Storm Water, Urban Transport, Basic Services, Drainage, Green Space, Non-Motorized, Parks, Septage Management, Sewerage, Storm Water, Urban Transport"
Pradhan Mantri Jeevan Jyoti Bima Yojana,https://www.myscheme.gov.in/schemes/pmjjby,Ministry Of Finance,"Claim Form, Consent, Jansuraksha, LIC, Claim Form, Consent, Jansuraksha, LIC"
Chief Minister's Micro Finance Initiative,https://www.myscheme.gov.in/schemes/cmmfi,Nagaland,"Banking And Money, Business, Financial Assistance, Micro Finance, Banking And Money, Business, Financial Assistance, Micro Finance"
Media Person Pension Scheme,https://www.myscheme.gov.in/schemes/mpps,Haryana,"Honorarium, Journalism, Media Persons, Pension, Honorarium, Journalism, Media Persons, Pension"
Development Support for Coffee in Traditional Areas: Eco-certification of Coffee,https://www.myscheme.gov.in/schemes/dsctaecc,Ministry Of Commerce And Industry,"Agriculture, Coffee, DBT, Farmer, Subsidy, Agriculture, Coffee, DBT, Farmer, Subsidy"
DEVELOPMENT OF HANDICRAFTS,https://www.myscheme.gov.in/schemes/doh,Puducherry,"Handicraft, Puducherry, Skills, Trades, Training, Handicraft, Puducherry, Skills, Trades, Training"
Mukhyamantri Nirmaan Shramik Pension Sahayata,https://www.myscheme.gov.in/schemes/mnsps,Chhattisgarh,"Financial Assistance, Social Welfare, Financial Assistance, Social Welfare"
Jagananna Chedodu,https://www.myscheme.gov.in/schemes/jc,Andhra Pradesh,"Barber, Financial Assistance, Social Welfare, Tailor, Washermen, Barber, Financial Assistance, Social Welfare, Tailor, Washermen"
Assistance Scheme for Handicraft Artisans,https://www.myscheme.gov.in/schemes/asha,Kerala,"Artisan, ASHA, Enterprise, Entrepreneur, Financial Assistance, Handicraft, Artisan, ASHA, Enterprise, Entrepreneur, Financial Assistance, Handicraft"
Assam Arogya Nidhi Scheme,https://www.myscheme.gov.in/schemes/aan,Assam,"Accidental Case, Diseases, Financial Assistance, Hospital, Treatment, Accidental Case, Diseases, Financial Assistance, Hospital, Treatment"
Atal Beemit Vyakti Kalyan Yojana,https://www.myscheme.gov.in/schemes/abvky,Ministry Of Labour and Employment,"Atal, Employee, Insurance, Insured Person, Unemployment, Atal, Employee, Insurance, Insured Person, Unemployment"
ICAR - Post Matric Scholarship For Scheduled Caste / Scheduled Tribes Candidates,https://www.myscheme.gov.in/schemes/icar-pms-scstc,Ministry Of Agriculture and Farmers Welfare,"Agriculture, Post Matric, Scheduled Caste, Scheduled Tribe, Scholarship, Agriculture, Post Matric, Scheduled Caste, Scheduled Tribe, Scholarship"
Pradhan Mantri Ujjwala Yojana,https://www.myscheme.gov.in/schemes/pmuy,Ministry Of Petroleum and Natural Gas,"BPL, Gas Cylinder, LPG Cylinder, Ujjwala, Women, BPL, Gas Cylinder, LPG Cylinder, Ujjwala, Women"
Usha Kiran Yojana,https://www.myscheme.gov.in/schemes/uky,Madhya Pradesh,"Deprivation Of Liberty, Domestic Violence, Mental Abuse, Physical Abuse, Sexual Abuse, Deprivation Of Liberty, Domestic Violence, Mental Abuse, Physical Abuse, Sexual Abuse"
Swachh Bharat Mission – Urban 2.0,https://www.myscheme.gov.in/schemes/sbm-u,Ministry Of Housing & Urban Affairs,"Sanitation, Toilet, Sanitation, Toilet"
Financial Assistance To Pre-primary School In Remote Areas,https://www.myscheme.gov.in/schemes/fappsra,Goa,"Refreshment, Remuneration, School, Training, Tribal, Refreshment, Remuneration, School, Training, Tribal"
Visiting Advanced Joint Research Faculty Scheme,https://www.myscheme.gov.in/schemes/vajra,Ministry Of Science And Technology,"Faculty, Joint Research, NRI, OCI, Overseas, SERB, VAJRA, Visiting, Faculty, Joint Research, NRI, OCI, Overseas, SERB, VAJRA, Visiting"
Scheme For Award Of Financial Assistance For Education To The Wards Of Beedi/Cine/IOMC/LSDM Workers – Pre & Post-Matric,https://www.myscheme.gov.in/schemes/safaew-bcew,Ministry Of Labour and Employment,"Financial Assistance, Scholarship, Student, Financial Assistance, Scholarship, Student"
Pradhan Mantri Kaushal Vikas Yojana - Short Term Training,https://www.myscheme.gov.in/schemes/pmkvy-stt,Ministry Of Skill Development And Entrepreneurship,"Counselling, Dropout, Kaushal, Placement, Skill, Training, Unemployed, Vikas, Counselling, Dropout, Kaushal, Placement, Skill, Training, Unemployed, Vikas"
Mahatma Gandhi National Rural Employment Guarantee Act,https://www.myscheme.gov.in/schemes/mgnrega,Ministry Of Rural Development,"Employment, Job, Labour, Panchayat, Unskilled, Employment, Job, Labour, Panchayat, Unskilled"
Pradhan Mantri Kaushal Vikas Yojana - Recognition Of Prior Learning,https://www.myscheme.gov.in/schemes/pmkvy-rpl,Ministry Of Skill Development And Entrepreneurship,"Industry Training, Kaushal, Skill, Vikas, Industry Training, Kaushal, Skill, Vikas"
Modernisation And Removal Of Obsolescence,https://www.myscheme.gov.in/schemes/modrob,Ministry of Education,"Grant, Institution, Grant, Institution"
National Talent Scholarship Undergraduate,https://www.myscheme.gov.in/schemes/nts-ug,Ministry Of Agriculture and Farmers Welfare,"Agriculture, Education, Scholarship, Student, Agriculture, Education, Scholarship, Student"
Post Matric Scholarship For Scheduled Caste,https://www.myscheme.gov.in/schemes/pmssc,Punjab,"Post Matric, Punjab, Scheduled Cast, Scholarship, Post Matric, Punjab, Scheduled Cast, Scholarship"
Mukhyamantri Asangathit Karmakar Ijjat Monthly Season Ticket Card Yojana,https://www.myscheme.gov.in/schemes/makimstc,Chhattisgarh,"Train Travel, Travel Pass, Unorganized Worker, Train Travel, Travel Pass, Unorganized Worker"
Young Interns Program,https://www.myscheme.gov.in/schemes/yip,Rajasthan,"Education, Government, Internship, Student, Education, Government, Internship, Student"
Mukhyamantri Asangathit Karmakar Cycle Sahayata Yojana,https://www.myscheme.gov.in/schemes/makssy,Chhattisgarh,"Empowerment, Vehicle, Women, Empowerment, Vehicle, Women"
Scheme For Soft Loan To The Grant-in-aid/ Non-grant In Aid Institutions For Maintenance And Upgradation Of Infrastructure Facilities,https://www.myscheme.gov.in/schemes/sslgiangiaimuif,Goa,"Infrastructure, Institution, Loan, Maintenance, Infrastructure, Institution, Loan, Maintenance"
Pradhan Mantri Awaas Yojana - Gramin,https://www.myscheme.gov.in/schemes/pmay-g,Ministry Of Rural Development,"Financial Assistance, Housing, Loan, Rural Development, Financial Assistance, Housing, Loan, Rural Development"
Technology Development And Utilization Programme For Women,https://www.myscheme.gov.in/schemes/tdupw,Ministry Of Science And Technology,"Capacity Building, Research, Science, Technology, Women, Capacity Building, Research, Science, Technology, Women"
Top Class Education For Students With Disabilities,https://www.myscheme.gov.in/schemes/tce-swd,Ministry Of Social Justice and Empowerment,"Books And Stationery, Empowerment, Person With Disability, Scholarship, Student, Tuition Fee, Books And Stationery, Empowerment, Person With Disability, Scholarship, Student, Tuition Fee"
Innovation In Science Pursuit For Inspired Research (INSPIRE) - Fellowship,https://www.myscheme.gov.in/schemes/inspire-f,Ministry Of Science And Technology,"Doctoral, Fellowship, Science, University, Doctoral, Fellowship, Science, University"
Scheme For Award Of Senior/Junior Fellowships To Outstanding Persons In The Fields Of Culture,https://www.myscheme.gov.in/schemes/sasjfopfc,Ministry Of Culture,"Arts, Culture, Fellowship, Junior Fellows, Senior Fellows, Arts, Culture, Fellowship, Junior Fellows, Senior Fellows"
Foster Care Scheme (Vatsalaya),https://www.myscheme.gov.in/schemes/fcsv,Goa,"Foster Care, Orphan, Parent, Rehabilitation, Shelter, Foster Care, Orphan, Parent, Rehabilitation, Shelter"
Rise Together,https://www.myscheme.gov.in/schemes/rt,Jammu and Kashmir,"Business Start-up, Entrepreneurship, Financial Assistance, Business Start-up, Entrepreneurship, Financial Assistance"
Pre Matric Scholarship For Students With Disabilities,https://www.myscheme.gov.in/schemes/pre-dis,Ministry Of Social Justice and Empowerment,"Book Grant, Education, Persons With Disability, Pre-Matric, Scholarship, School, Social Welfare, Student, Students With Disabilities, Book Grant, Education, Persons With Disability, Pre-Matric, Scholarship, School, Social Welfare, Student, Students With Disabilities"
Prime Minister's Scholarship Scheme for Railway Protection Force,https://www.myscheme.gov.in/schemes/pmssrpf,Ministry Of Railways,"Railway, RPF, RPSF, Scholarship, Student, Railway, RPF, RPSF, Scholarship, Student"
Krushy Aranya Protsaha Yojane (kapy),https://www.myscheme.gov.in/schemes/kapy,Karnataka,"Farmers, Pahani, Subsidy, Three-year Nurturing, Tree Plantation, Farmers, Pahani, Subsidy, Three-year Nurturing, Tree Plantation"
Dr. B.R. Ambedkar Awas Navinikarn Yojna,https://www.myscheme.gov.in/schemes/braany,Haryana,"Awas, Backward Classes, Below Poverty Line, Haryana Domicile, Scheduled Caste, Awas, Backward Classes, Below Poverty Line, Haryana Domicile, Scheduled Caste"
Prime Minister's Employment Generation Programme,https://www.myscheme.gov.in/schemes/pmegp,"Ministry Of Micro, Small and Medium Enterprises","Entrepreneur, Financial Assistance, Loan, Micro Enterprises, Projects, Entrepreneur, Financial Assistance, Loan, Micro Enterprises, Projects"
Karkhandar Scheme For Development Of Craft Sector,https://www.myscheme.gov.in/schemes/ksdcs,Jammu and Kashmir,"Employment, Entrepreneur, Skill, Training, Employment, Entrepreneur, Skill, Training"
The Artist Welfare Fund Of Assam,https://www.myscheme.gov.in/schemes/tawfa,Assam,"Accident, Artist, Culture, Education, Financial Asisstance, Medical Aid, Accident, Artist, Culture, Education, Financial Asisstance, Medical Aid"
YSR Jala Kala,https://www.myscheme.gov.in/schemes/ysrjk,Andhra Pradesh,"Agriculture, Farmer, Agriculture, Farmer"
Indian Agricultural Research Institute - Scholarship,https://www.myscheme.gov.in/schemes/iaris,Ministry Of Agriculture and Farmers Welfare,"Education, IARI, PhD, Scholarship, Education, IARI, PhD, Scholarship"
RMEWF-Financial Assistance For Ex-Servicemen In Penury,https://www.myscheme.gov.in/schemes/rmewf-penury,Ministry Of Defence,"Ex-Servicemen, Extreme Poor, Non-Pensioner Ex-Servicemen, Penury, Ex-Servicemen, Extreme Poor, Non-Pensioner Ex-Servicemen, Penury"
Contributory Social Security Scheme,https://www.myscheme.gov.in/schemes/csss,Jammu and Kashmir,"Insurance, Pension, Social Security, Social Welfare, Insurance, Pension, Social Security, Social Welfare"
State Programme For Rehabilitation Of Persons With Disabilities,https://www.myscheme.gov.in/schemes/sprpd,Arunachal Pradesh,"100% Disability, Aids, Rehabilitation, Social Welfare, 100% Disability, Aids, Rehabilitation, Social Welfare"
Vivah Sahayata Yojana,https://www.myscheme.gov.in/schemes/vsy,Jharkhand,"Financial Assistance, Marriage, Social Welfare, Financial Assistance, Marriage, Social Welfare"
Biponi Scheme,https://www.myscheme.gov.in/schemes/bps,Assam,"Biponi, Business, Entrepreneurship, Micro, Biponi, Business, Entrepreneurship, Micro"
Mukhya Mantri Mahila Kisan Sashaktikaran Yojana,https://www.myscheme.gov.in/schemes/mmksy,Gujarat,"Kisan, Mahila, Mukhya Mantri, Sashaktikaran Yojana, Kisan, Mahila, Mukhya Mantri, Sashaktikaran Yojana"
Scholarship To 2 Years Pre-Service Student Teachers Undergoing D.El.Ed Programme At DIETs And CTTC Sohra,https://www.myscheme.gov.in/schemes/stypsstdpdcs,Meghalaya,"Education, Scholarship, Student, Teacher, Teaching, Education, Scholarship, Student, Teacher, Teaching"
Zero Budget Natural Farming,https://www.myscheme.gov.in/schemes/zbnf,Rajasthan,"Agriculture, Farmer, Low Cost Fartming, Training, Agriculture, Farmer, Low Cost Fartming, Training"
Internship Scheme For PG/Research Students In Directorate General Of Trade Remedies (DGTR),https://www.myscheme.gov.in/schemes/ispgrsdgtr,Ministry Of Commerce And Industry,"Commerce, Internship, Internship, Postgraduation, Research, Trade, Commerce, Internship, Internship, Postgraduation, Research, Trade"
Scheme for Margin Money Grant to Nano Units,https://www.myscheme.gov.in/schemes/smmgnu,Kerala,"Enterprise, Entrepreneur, Financial Assistance, Margin Money, Nano Unit, Enterprise, Entrepreneur, Financial Assistance, Margin Money, Nano Unit"
Grant of House Construction Subsidy to Scheduled Caste People,https://www.myscheme.gov.in/schemes/ghcsscp,Puducherry,"Construction, House, Housing, SC, Scheduled Caste, Subsidy, Construction, House, Housing, SC, Scheduled Caste, Subsidy"
Mukhyamantri Vridhjan Pension Yojna,https://www.myscheme.gov.in/schemes/mvpy-bihar,Bihar,"Financial Assistance, Old Age, Pension, Senior Citizen, Financial Assistance, Old Age, Pension, Senior Citizen"
Scheme Of Coaching & Allied For Scheduled Castes,https://www.myscheme.gov.in/schemes/scasc,Jharkhand,"Coaching, Financial Grants, Scheduled Castes, Social Welfare, Stipend, Coaching, Financial Grants, Scheduled Castes, Social Welfare, Stipend"
Pension to the Persons who lost 100% eye sight,https://www.myscheme.gov.in/schemes/pfeslpbtac,Tripura,"Blind, Financial Assistance, Pension, Blind, Financial Assistance, Pension"
Mukhyamantri Samajik Sahayata Prakalpa - Vulnerable Women,https://www.myscheme.gov.in/schemes/mssp-vm,Tripura,"Divorced, Financial Assistance, Pension, Unmarried, Women, Divorced, Financial Assistance, Pension, Unmarried, Women"
Samagra Samajik Suraksha Vridhavastha Pension Yojana,https://www.myscheme.gov.in/schemes/sssvpy,Madhya Pradesh,"Empower, Financial Assistance, Old Age, Pension, Empower, Financial Assistance, Old Age, Pension"
Nirman Shramik Siksha Kaushal Vikas Yojana,https://www.myscheme.gov.in/schemes/nsskvy,Rajasthan,"Education, Financial, Scholarships, Student, Education, Financial, Scholarships, Student"
Financial Assistance For The Marriage Of Daughters Of Poor Widows And Orphan Girls,https://www.myscheme.gov.in/schemes/famdpwog,Delhi,"Financial Asisstance, Girl Child, Marriage, Orphan, Widow, Financial Asisstance, Girl Child, Marriage, Orphan, Widow"
