Scheme Name,URL
"""Capital Investment Subsidy: SC/ST/Women Entrepreneurs"" Component of the ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries"" Scheme",https://www.myscheme.gov.in/schemes/cisscstwe-mesifai
Skill Development Scheme (PBAOCWWB),https://www.myscheme.gov.in/schemes/sds-pbaocwwb
Funeral Assistance Scheme (PULWS),https://www.myscheme.gov.in/schemes/fas-pulws
Gharelu Hinsa Ki Pidita Ke Liye Sahayta Yojana,https://www.myscheme.gov.in/schemes/ghpklsy
"""Generator Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/gs-mesifai
National Water Awards,https://www.myscheme.gov.in/schemes/nwa
National Handicrafts Development Programme: Direct Benefit to Artisans - Supports to Artisans in Indigent Circumstances,https://www.myscheme.gov.in/schemes/nhdp-dba-saic
"""Innovation in Technology [Product (or) Process]"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",https://www.myscheme.gov.in/schemes/itpp-mesifai-sa-msme
Scheme of Extending Financial Assistance to New Drama Productions,https://www.myscheme.gov.in/schemes/soefatndp
Marriage Grant for One Daughter (Sainik Welfare),https://www.myscheme.gov.in/schemes/mgod
Festival Gift Coupons (Sainik Welfare),https://www.myscheme.gov.in/schemes/fgc
Spectacle Grant (Sainik Welfare),https://www.myscheme.gov.in/schemes/sg-sw
Cash Grant in lieu of Sewing Machine,https://www.myscheme.gov.in/schemes/cgilsm
Grant of Financial Assistance for Purchase of Textbooks/Notebooks to School-Going Children of Industrial Workers/Employees (GLWB),https://www.myscheme.gov.in/schemes/gfaptnsgciwe-glwb
Funeral Assistance (GBOCWWB),https://www.myscheme.gov.in/schemes/fa-gbocwwb
Family Pension (GBOCWWB),https://www.myscheme.gov.in/schemes/fp-gbocwwb
Death Benefit (GBOCWWB),https://www.myscheme.gov.in/schemes/db-gbocwwb
Grant to Meritorious Wards of Ex-Servicemen in Academics (Lump Sum Grant),https://www.myscheme.gov.in/schemes/gmwesma-lsg
Purchase/Construction of House for the Construction Workers,https://www.myscheme.gov.in/schemes/pchcw
Reimbursement of Tuition Fees to the Wards of Ex-Servicemen/Widows (Sainik Welfare),https://www.myscheme.gov.in/schemes/rtfwesw-sw
"""Outstanding Entrepreneur"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",https://www.myscheme.gov.in/schemes/oe-mesifai-sa-msme
"Scholarship For Cadets Of Rashtriya Indian Military College (RIMC), Dehradun",https://www.myscheme.gov.in/schemes/scrimc
Chief Minister Merit Award,https://www.myscheme.gov.in/schemes/cmma
"""Rent Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/rs-mesifai
Cash Award to Top Ranking Holders in Public Examinations,https://www.myscheme.gov.in/schemes/catrhpe
Interim Relief to the Beneficiaries Affected by Disaster (GBOCWWB),https://www.myscheme.gov.in/schemes/irbad-gbocwwb
